name;description;url
Pluto TV Peleas;Las artes marciales mixtas están en Pluto TV Peleas. Todo el contenido que los fanáticos de las luchas quieren ver. El Combate Américas, Impact Wrestling, Hard Knocks Fighting y los torneos más importantes del circuito en un solo canal. Pluto TV Peleas.;https://pluto.tv/latam/live-tv/5e98b0447665f200078caded/details
Pluto TV España;Las mejores películas y series de España llegan a Pluto TV, y las puedes disfrutar todas juntas en un solo canal: Pluto TV España. Ríete, llora, enamórate y sufre con las mejores ficciones de España.;https://pluto.tv/latam/live-tv/5ffe17e3d765170007c3a4fe/details
Pluto TV Animales;Todas las maravillas que nos regala el mundo animal están en PlutoTV Animales, el canal donde te pueden rugir, ladrar o llenar de ternura para siempre sorprenderte y mejorar tu día. Desde los más salvajes hasta los más amigables: Pluto TV Animales.;https://pluto.tv/latam/live-tv/5dd834c66fe2ca0009303b8d/details
MTV Biggest Pop;¡Checa esto! MTV BIGGEST POP es tu destino para la mejor música, las más brillantes estrellas y los hits más bailables de la actualidad. Desde Drake y Miley, pasando por Beyoncé y Gaga.;https://pluto.tv/latam/live-tv/6047fabfce6e8e00070bcc9f/details
Comedy Central South Park;South Park la icónica serie animada que marcó un antes y un después en la TV, llega a Pluto TV. Para que te rías a carcajadas con Kyle, Stan, Kenny y Cartman. Disfruta de los legendarios episodios que marcaron una era, gratis en Comedy Central South Park.;https://pluto.tv/latam/live-tv/609ae5cd48d3200007b0a98e/details
Tastemade;Un canal con contenido premium de comida, viajes, hogar y diseño de todo el mundo. Vas a poder disfrutar desde los documentales más originales hasta las recetas más clásicas las 24 horas del día, los 7 días de la semana.;https://pluto.tv/latam/live-tv/5f998c1fc54853000797bacd/details
Pluto TV  Competencias;Preguntas y respuestas, emociones fuertes y miles de insectos caminando por tu cuerpo. Cultura general, destreza y viseras de animales servidas en bandeja. ¿Qué tanto sabes? ¿Cuanta suerte tienes? ¿que tan valiente eres?;https://pluto.tv/latam/live-tv/5dd6d935d000120009bc1132/details
South Park: Colección Cartman;"¿Quién es el más manipulador, rencoroso y travieso de South Park? ¡Eric Cartman! Este canal está dedicado a los mejores episodios del ""Chico Malo"" de South Park.";https://pluto.tv/latam/live-tv/65df731cec9fda0008b7aa8d/details
Misterios Medicos;En Pluto TV Misterios Médicos conocerás los casos más extraños y las cirugías más impactantes dadas bajo las condiciones más adversas, raras y controversiales.;https://pluto.tv/latam/live-tv/5f230e416b68ff00075b0139/details
Pluto TV Adrenalina Freezone;¡En el canal Pluto TV Adrenalina Freezone puedes ver películas emocionantes! Grandes éxitos de acción, aventura, suspenso y terror. Los grandes nombres de Hollywood 100% gratis para ti. En Pluto TV.;https://pluto.tv/latam/live-tv/61b793ccf571b80007b7a610/details
