title;description;rating;genre;url
Los quien;Sitcom que narra las peripecias del matrimonio Peña Zunzunegui, una pareja que a comienzos de los años ochenta protagoniza el primer divorcio en la España democrática.;PG;Comedy;https://pluto.tv/latam/on-demand/series/6182887e54ba66001a69c9c5
Círculo Rojo;La muerte de Clara, una famosa diseñadora, desencadenará la venganza de dos mujeres contra las personas que destrozaron su vida en el pasado.;G;Drama;https://pluto.tv/latam/on-demand/series/617beced5eb49a001ae13df0
Tómame o Déjame;Lara es la sexóloga mas reconocida del país, pero su vida amorosa es un desastre. Todo cambia cuando conoce a Adan, un especialista en sexo tántrico que le mostrara que en el sexo no todo es ciencia.;TV-14;Romance;https://pluto.tv/latam/on-demand/series/5e46e382033f250de1476874
Satisfaction;Las chicas regresan para volver a empezar, allí donde abundan las rivalidades, los secretos salen al descubierto y el futuro se cuestiona. Con la introducción de una nueva dama de compañía, el Club 232 continúa satisfaciendo a sus clientes.;TV-MA;Romance;https://pluto.tv/latam/on-demand/series/5e06698ce20d3e49c519a579
Infieles;Las vidas de cinco jóvenes mujeres, amigas íntimas, cuyas vidas profesionales, amistades, relaciones amorosas, pasiones y sentido del humor constituyen una serie que evoluciona alrededor de la confianza y fidelidad con uno mismo.;R;Reality;https://pluto.tv/latam/on-demand/series/5f8ee06b72d139001a1a5238
El Diario Secreto De Una Profesional;Una nueva versión del programa de televisión del 2007 “Secret Diary of a Call-girl.” Basado en el diario personal popular de la trabajadora sexual solo conocida como Belle de Jour.;R;Romance;https://pluto.tv/latam/on-demand/series/5e1e5f3a2e5775fc28afb83a
Sin tetas no hay paraíso (ESP);"Cata y ""El Duque"", un romance lleno de intrigas y obstáculos. Ella, una joven estudiante de 17 años mientras que él es uno de los narcotraficantes más famosos.";TV-PG;Telenovela;https://pluto.tv/latam/on-demand/series/609e9d0641fc48001327cce7
Impares;Serie de comedia de pequeños sketches que muestra a los diversos clientes de una agencia de búsqueda de pareja a través de Internet.;G;Comedy;https://pluto.tv/latam/on-demand/series/617fe300693843001af8322a
Manolo y Benito Corporaision;Manolo y Benito trabajan en su empresa de reformas y son inseparables. La mujer de Manolo, le dejó cinco años atrás. A Benito no le gustan los cambios y toda su vida sigue igual. Todo cambia cuando su edificio se convierte en un Hotel de 4 estrellas.;G;Comedy;https://pluto.tv/latam/on-demand/series/6182889c52ed7b001b61a3d8
Daria;Daria Morgendorfferr es una chica inteligente y cínica que se encuentra atravesando la vida de la adolescencia, donde deberá encontrarse con adolescentes estereotipados de la Preparatoria Lawndale y con adultos condecentes y estresados.;TV-PG;Comedy;https://pluto.tv/latam/on-demand/series/5e20986b370805f4c87911aa
El Aula 69;El Aula 69 es un vlog en dónde nos dedicamos a crear debate entre jóvenes sobre varias temáticas relevantes de modo entretenido y actual. Todo esto, con el sentido del humor particular de enchufe.tv.;TV-14;Comedy;https://pluto.tv/latam/on-demand/series/640f7b2384f66100139375c3
Shameless;Conoce a la familia Gallagher mientras experimentan la vida al límite en una maraña de aventuras sexuales, triunfos, amores, estafas y ofensas menores en Manchester. Y da gracias a Dios porque no son tus vecinos.;TV-MA;Comedy;https://pluto.tv/latam/on-demand/series/609d6d6e0c3a580013e3cbf7
La Clínica;En la clínica psiquiátrica del Dr. Cosme Krauss comenzarán a desencadenarse conflictos cuando lleguen pacientes que están en la locura mental y otros que no lo están lo estarán muy pronto.;TV-14;Comedy;https://pluto.tv/latam/on-demand/series/6346dc10533216001339fded
