title;description;rating;genre;duration;url
Machine Gun Preacher;Sam Childers es un ex motorista traficante de drogas que encontró a Dios y se convirtió en un cruzado salvando a cientos de niños sudaneses obligados a convertirse en soldados.;R;Crime;2hr 9 min;https://pluto.tv/latam/on-demand/movies/5dfd2e7ebe7e53bc0c65d521/details
Saldo de cuentas;Un policía que trabaja como asesino a sueldo acepta matar a la madre de un narcotraficante desesperado a cambio de la hermana virgen del joven y de una parte del seguro de vida que el narcotraficante cobrará cuando muera su madre.;TV-MA;Thriller;1hr 38 min;https://pluto.tv/latam/on-demand/movies/604f8741e7c979001a8a84f2/details
Blue Jasmine;Jasmine, una mujer rica y glamourosa de la alta sociedad neoyorquina, se encuentra de repente sin dinero y sin casa.;PG-13;Drama;1hr 38 min;https://pluto.tv/latam/on-demand/movies/5eaaeb05718be7001af50b1c/details
Hombre Peligroso;Tras cumplir seis años en prisión por un crimen que no había cometido, Shane Daniels es absuelto con una disculpa del Estado de Arizona. Shane debe luchar a su manera en un país corrupto y asegurarse de que la chica salga con vida.;R;Crime;1hr 34 min;https://pluto.tv/latam/on-demand/movies/60c8abbe36537d001332092c/details
En el Rastro del Asesino;Un policía trabaja para averiguar si un adolescente violento asesinó a su familia.;TV-MA;Drama;1hr 41 min;https://pluto.tv/latam/on-demand/movies/641c6c621a5081001a49bf50/details
Al Maestro con Cariño Mr. Pip;"Una chica se distrae de una guerra que se desarrolla leyendo en la escuela el libro ""Grandes Esperanzas"" de Charles Dickens.";TV-14;War;1hr 55 min;https://pluto.tv/latam/on-demand/movies/60b53c3be36d58001a68e6dc/details
El defensor;Un abogado de defensa tiene una crisis de conciencia cuando se representa a un cliente adinerado que tiene un plan infalible para vencer al sistema.;R;Drama;1hr 58 min;https://pluto.tv/latam/on-demand/movies/5e67ea225cee68001a91ac3e/details
Noches de Reventón;Parecería que Steve y Doug nunca serán tan geniales como para entrar a la disco Roxbury, hasta que tienen un pequeño accidente con su modelo a seguir, que siempre va al club, Richard Grieco. Para evitar una denuncia, Grieco se hace amigo de ellos.;PG-13;Comedy;1hr 22 min;https://pluto.tv/latam/on-demand/movies/5e9f001157d2e0001a099a81/details
Regresión;Un detective y un psicoanalista descubren pruebas de un culto satánico mientras investigan el aterrador pasado de una joven.;R;Thriller;1hr 46 min;https://pluto.tv/latam/on-demand/movies/6310df827a42340013e95fe1/details
Misión Secreta;Un senador estadounidense es asesinado en Washington por un espía ruso. Un agente de la CIA retirado (Richard Gere) se ve obligado a colaborar con un joven agente del FBI (Topher Grace) para atrapar al criminal.;PG-13;Crime;1hr 38 min;https://pluto.tv/latam/on-demand/movies/5e6ff3694698db001ab3dddf/details
El Ilusionista;En Viena de 1900, Eisenheim cautiva con sus espectáculos de magia e ilusionismo. Sus poderes sobrenaturales llegan a oídos del príncipe heredero Leopold.Sospechando un fraude,Leopold encarga al inspector de policía Uhl que vigile de cerca al mago.;TV-14;Drama;1hr 49 min;https://pluto.tv/latam/on-demand/movies/604b91eab2b870001a05f05f/details
Vida de Motel;Una pareja de hermanos de clase trabajadora se alojan en un motel en la ciudad de Reno al verse implicados en un fatal accidente de coche del que salieron huyendo.;R;Drama;1hr 25 min;https://pluto.tv/latam/on-demand/movies/60c8abf036537d0013320d66/details
Justo a tiempo;Gene llega a su casa después de asistir al funeral de su exesposa. Al poco tiempo, secuestran a su hija. Recibe una pistola y la tarea de matar a una persona en una hora y quince minutos. De lo contrario, su hija será asesinada.;R;Action & Adventure;1hr 29 min;https://pluto.tv/latam/on-demand/movies/5e5d43ed4698db001ab20e82/details
El Gran Impostor;Ray era un niño prodigio de la pintura. Al igual que su padre, se convirtió en ladrón, y ahora para conservar su libertad debe hacer un último trabajo para las personas que lo ayudaron a salir.;R;Drama;1hr 35 min;https://pluto.tv/latam/on-demand/movies/6141f427bce9e900135a5b29/details
The cobbler;Cuenta la historia de un zapatero que tiene la peculiar habilidad de asumir la vida de sus clientes a través de los zapatos que repara.;PG-13;Comedy;1hr 38 min;https://pluto.tv/latam/on-demand/movies/5e0a2c00be8fa6764e877186/details
Pequeños Accidentes;En una pequeña comunidad conmocionada por un accidente mortal en su mina, la desaparición de un adolescente pone en relación a un minero superviviente, la mujer de un directivo de la mina y a un chaval taciturno y lleno de secretos.;R;Drama;1hr 44 min;https://pluto.tv/latam/on-demand/movies/60bf725bd782df0013ef27a3/details
Last Night;Relato de amor, traición y celos. Un matrimonio de Nueva York tiene que separarse, durante una noche, por causa de un viaje de negocios que el marido (Worthington) debe realizar con una atractiva compañera de trabajo (Eva Mendes).;R;Romance;1hr 32 min;https://pluto.tv/latam/on-demand/movies/5ea2ee97c733d6001a1ae5e0/details
Sin Rumbo;Después de que un padre afligido encuentra una caja de cintas de demostración hechas por su hijo muerto, él forma una banda con la esperanza de encontrar la paz.;TV-MA;Drama;1hr 45 min;https://pluto.tv/latam/on-demand/movies/604b91e5b2b870001a05efe7/details
Underworld;Selene, una guerrera vampiro, está inmersa en un conflicto entre vampiros y hombres lobo, mientras se enamora de Michael, un humano que es buscado por hombres lobo por razones desconocidas.;R;Thriller;2hr 14 min;https://pluto.tv/latam/on-demand/movies/5dfd2e87be7e53bc0c65d627/details
El expreso del miedo;Un experimento para solucionar el calentamiento global acabó matando a la mayoría de la vida existente en el planeta, los únicos sobrevivientes fueron los pasajeros del Snowpiercer.;R;Sci-Fi & Fantasy;2hr 6 min;https://pluto.tv/latam/on-demand/movies/5e6a42ace2fa10001becd16f/details
The English Teacher;Linda, una profesora de inglés cuya reprimida vida personal convive con un marcado contraste con la pasión que lleva al salón de clases. Su vida cambia cuando el alumno estrella regresa a su pueblo tras fracasar como dramaturgo.;R;Comedy;1hr 31 min;https://pluto.tv/latam/on-demand/movies/5f7357c776c54900134c3633/details
El Dador de Recuerdos;Cuenta la historia de un mundo perfecto en el que todos sus habitantes son felices de forma artificial. Los que se encuentran en el poder han eliminado cualquier motivo que pudiera suponer un enfrentamiento o discusión.;PG;Sci-Fi & Fantasy;1hr 37 min;https://pluto.tv/latam/on-demand/movies/5f7b86f0e4b56900138b75c4/details
24 horas para vivir;Un asesino profesional muere durante uno de sus trabajos, pero es devuelto a la vida por un día para cumplir una importante misión.;R;Action & Adventure;1hr 32 min;https://pluto.tv/latam/on-demand/movies/5f7b8695e4b56900138b70c2/details
Enigma;Segunda Guerra Mundial. Inglaterra, 1943. Los descifradores de códigos de Betchley Park, sede de los servicios secretos británicos, se enfrentan a su peor pesadilla.;R;Thriller;1hr 58 min;https://pluto.tv/latam/on-demand/movies/5ea3163c1ea4a6001a5d0471/details
Terminal;"En una oscura ciudad, dos sicarios intentan cumplir una escalofriante misión. Vince y Alfred tienen la instrucción de permanecer en un hotel hasta que alguien aparezca en una habitación en el edificio de enfrente; solo entonces deben de matarlo.";R;Thriller;1hr 35 min;https://pluto.tv/latam/on-demand/movies/63aded948ba71d0013eafbf3/details
La historia de un niño hambriento;Viaje lleno de nostalgia a través de la gastronomía inglesa, ambientado en la década de los 60. Se basa en la novela autobiográfica del mismo nombre del cocinero Nigel Slater.;R;Drama;1hr 36 min;https://pluto.tv/latam/on-demand/movies/60c8abeb36537d0013320cf2/details
Balas en Furia;En la China de la década de 1920, un bandido llega a una remota ciudad de provincia haciéndose pasar por su nuevo alcalde, donde se enfrenta a un tiránico noble local.;TV-14;Action & Adventure;2hr 12 min;https://pluto.tv/latam/on-demand/movies/641084fa8a5b2f001398b79b/details
